6376	['36', '9723', '22987', '115380', '167418', '92744', '65578', '80938', '127396', '92641', '116375', '48719', '167418', '26104', '13730', '144633', '114098', '126737', '48719', '9250', '58959', '63013', '107265', '110334', '161266', '88215', '61119', '60500', '79396', '107864', '124811', '153626', '173357', '39545', '168705', '1818', '12471', '56347', '87539', '100431', '174834', '19988', '91672', '26104', '31878', '167418', '54134', '116531', '127364', '149711', '156530', '161256', '167579', '13326', '38177', '153904', '173812', '174834', '21263', '40273', '39879', '145373', '28550', '70771', '163665', '54134', '26104']
42299	['192']
58763	['463', '50909', '73166', '125577', '141108', '161322', '9484', '125796', '10123', '161322', '125577', '3302', '137934', '21091', '146165', '59748', '3302', '151647', '164637']
42656	['667', '31544', '55692', '155175', '126165', '138946', '60728', '2883', '19606', '151573', '128951', '28970', '64517', '168112', '122427', '45151', '69412', '77736', '105963', '3302', '67126', '22993', '32398', '7586', '68442', '37319', '49754', '32274', '166286', '110463', '97244', '86067', '18303', '22649', '134304', '110208', '20911', '3302', '58761', '99516', '151573', '98458', '14062', '76797', '13279', '68545', '147343', '78598', '69126', '54033', '39980', '74478', '87353', '126195', '44568', '160913', '75533']
53071	['685', '107745', '170767', '39730', '121394', '168725', '171858', '16981', '112783', '174454', '65044', '129788', '122548', '99536', '137370', '136812', '685', '18245', '68732', '16981', '80224', '681', '65044', '69661', '69950', '14063', '161589', '15320', '78988', '136770', '69967', '159418', '69950', '18245', '65875']
70693	['685']
55277	['1157', '77584', '97075', '133156']
24915	['1199', '87059', '70121', '87724', '134169', '174232', '128453', '85935', '55118', '15480', '130749', '61627', '59718', '1199', '116218', '69205', '86564', '48265', '5930', '84704', '2260', '69937', '48265', '135380', '172205', '115848', '79149', '61627', '170744', '90355', '160780', '138949', '60140', '165298', '103839', '2260', '169378', '154414', '29509']
61263	['1328', '41524', '46103', '70981', '108006', '22885', '26726', '47852', '47902', '137920', '157793', '166439', '167133', '117288', '87418', '106443', '156931', '28587', '92409', '6611', '21732', '80117', '30021', '61224', '69073', '153827', '99733', '93725', '103784', '35122', '83230', '69053', '105916', '26099', '26098', '148846', '128166']
14519	['1437', '86051', '98264', '29814', '120498', '99446', '160455', '60886', '77446', '163173', '139871', '175005', '33786', '81622', '157610', '136825', '64261', '117575', '12893', '16289', '119560', '25102', '76705', '54371', '13978', '39364', '43024', '65359', '7223', '26039', '55473', '152933', '6235', '101338', '131168', '66503', '54058', '81651', '26039', '26558', '139871']
582	['1873', '97898', '18646', '79301', '3392', '130916']
48067	['1946', '147425', '114686', '37268', '126466']
40969	['2090', '21728', '27800', '54301', '59738', '62700', '76241', '94242', '131668', '136294', '32014', '43096', '94242', '116030', '168600', '32388', '29059', '70848', '131668', '174128', '150752', '54301', '59738', '94242', '123783', '168600', '116030', '27800', '136294', '91309', '96892', '122856', '140859', '43096', '2090', '2253', '150752', '27800', '32388', '43450', '94242', '105971', '35472', '102625']
